ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
18;MONUMENTO;1;BRONCE Y MAMPOSTERIA;CEFERINO NAMUNCURA;ARMAS, ARMANDO;PZTA CEFERINO NAMUNCURA;PZTA CEFERINO NAMUNCURA;ARREGUI AV. 6400;ARREGUI AV.;6400;VERSALLES;COMUNA 10;1408;C1408AVV;-34.62847185;-58.5240179
28;MONUMENTO;1;BRONCE Y GRANITO;EN LAS AMERICAS;ATTARDI, UGO;PZTA PROVINCIA DE TUCUMAN;PZTA PROVINCIA DE TUCUMAN;9 DE JULIO AV. Y PELLEGRINI, CARLOS;9 DE JULIO AV.;;RETIRO;COMUNA 1;;;-34.59668496;-58.38142415
33;MONUMENTO;1;BRONCE Y MARMOL;HOMENAJE A LOS CAIDOS EN CASTILLA;BAIARDI, MARIO;;;OBLIGADO RAFAEL, AV.COSTANERA;OBLIGADO RAFAEL, AV.COSTANERA;;;COMUNA 1;;;;
34;MONUMENTO;1;BRONCE Y GRANITO;CAP.GRL.JUSTO JOSE DE URQUIZA;BALDI,RENZO Y ROCHA,HECTOR;;;FIGUEROA ALCORTA, PRES. AV. Y SARMIENTO AV.;FIGUEROA ALCORTA, PRES. AV.;;PALERMO;COMUNA 14;;;-34.5715458;-58.4115809
61;MONUMENTO CON RELIE;1;CEMENTO PATINADO;HOMENAJE A LOS HEROES Y MARTIRES GHETTO;BISCIONE, CARLOS;PARQUE DEL CENTENARIO;PARQUE DEL CENTENARIO;DIAZ VELEZ AV. Y FINOCHIETTO, RICARDO, DR.;DIAZ VELEZ AV.;;CABALLITO;COMUNA 6;;;-34.60862275;-58.43579197
78;MONUMENTO;1;BRONCE Y PIEDRA;GENERAL MARTIN MIGUEL DE GUEMES;BUCCI, ERMANDO;PARQUE SAN BENITO;PARQUE SAN BENITO;FIGUEROA ALCORTA, PRES. AV. 6700;FIGUEROA ALCORTA, PRES. AV.;6700;BELGRANO;COMUNA 13;1428;C1428BCP;-34.55076453;-58.43755598
113;MONUMENTO Y BASE;1;BRONCE Y MAMPOSTERIA;CONDE ANTONIO DEVOTO;ZOCCHI, ARNALDO;PLAZA ARENALES;PLAZA ARENALES;MERCEDES 4058;MERCEDES;4058;VILLA DEVOTO;COMUNA 11;1419;C1419BGJ;-34.60024618;-58.51281285
124;MONUMENTO;1;BRONCE Y PIEDRA;FALUCHO;CORREA MORALES, L.;PZTA FALUCHO;PZTA FALUCHO;SANTA FE AV. Y DRESCO, ARTURO ANTONIO;SANTA FE AV.;;PALERMO;COMUNA 14;;;-34.57726337;-58.42931077
128;MONUMENTO;1;BRONCE Y MARMOL;DR. CARLOS PELLEGRINI;COUTAN, JULIO FELIX;PZTA CARLOS PELLEGRINI;PZTA CARLOS PELLEGRINI;ALVEAR AV. 1350;ALVEAR AV.;1350;RETIRO;COMUNA 1;1014;C1014AAN;-34.59167892;-58.38310936
135;MONUMENTO;1;PIEDRA TOBA;HJE. A ARMENIA;BAGHUMYAN, GRIBOR;PLAZA ARMENIA;PLAZA ARMENIA;MALABIA Y COSTA RICA;MALABIA;;PALERMO;COMUNA 14;;;-34.58946608;-58.4250806
291;MONUMENTO;1;BRONCE Y MARMOL;JUAN BAUTISTA ALBERDI;ARRIGUTTI.M CORVO,C.;PLAZA CONSTITUCION;PLAZA CONSTITUCION;LIMA 1563;LIMA;1563;CONSTITUCION;COMUNA 1;1138;C1138ACG;-34.62656337;-58.38234372
299;MONUMENTO;1;GRANITO Y BRONCE;GRL. JOSE ANTONIO PAEZ;RUS;PLAZA CONSTITUCION;PLAZA CONSTITUCION;LIMA 1563;LIMA;1563;CONSTITUCION;COMUNA 1;1138;C1138ACG;-34.62656337;-58.38234372
495;MONUMENTO;1;MAMPOSTERIA;PIRAMIDE DE MAYO;CA?ETE, PEDRO VICENTE;PLAZA DE MAYO;PLAZA DE MAYO;YRIGOYEN, HIPOLITO AV. 401;YRIGOYEN, HIPOLITO AV.;401;MONSERRAT;COMUNA 1;1086;C1086AAE;-34.60892629;-58.37215533
570;MONUMENTO;1;MARMOL;BEATO LUIS GUANELLA;DAL PORTO, ORIO;PZTA BEATO LUIS GUANELLA;PZTA BEATO LUIS GUANELLA;SCHMIDL, ULRICO 6301;SCHMIDL, ULRICO;6301;MATADEROS;COMUNA 9;1440;C1440CFY;-34.65027316;-58.51121307
