Cod_Loc,IdProvincia,IdDepartamento,Observaciones,categoria,subcategoria,provincia,localidad,nombre,direccion,piso,CP,cod_area,telefono,Mail,Web,Latitud,Longitud,TipoLatitudLongitud,Info_adicional,fuente,jurisdiccion,año_inauguracion,actualizacion
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo Malvinas E Islas Del Atlántico Sur,Av. del Libertador 8151,,C1429BNB,11.0,4701 7083,,,-34.540283,-58.46409,Localización precisa,,DNPyM,Nacional,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo De Maquetas,Ciudad Universitaria - Pabellón iii,,1428,11.0,4789 6200,,,-34.544363,-58.440278,Localización precisa,,DNPyM,Nacional,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo De Matemática Mateuba,"Ciudad Universitaria, pabellón i, 2do. Piso",,1428,11.0,4576 3335,,,-34.544363,-58.440278,Localización precisa,,DNPyM,Nacional,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo De Mineralogía Dra. Elmira Inés Mórtola,Ciudad Universitaria pabellón ii,,1428,11.0,4576 3300 INT. 284,,,-34.544363,-58.440278,Localización precisa,,DNPyM,Nacional,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo Líbero Badii,11 de Setiembre 1990,,C1428AID,11.0,4784 8650,,,-34.559824,-58.450187,Localización precisa,,DNPyM,Privada,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo De Los Patricios De Buenos Ayres,Av. Int. Bullrich 481,,C1425FTE,11.0,4576 5537 INT. 5448,,,-34.576542,-58.426072,Localización precisa,,DNPyM,Nacional,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo De Arte Latinoamericano De Buenos Aires Malba - Fundación Constantín,Av. Figueroa Alcorta 3415,,C1425CLA,11.0,4808 6500,,,-34.577484,-58.4037,Localización precisa,,DNPyM,Privada,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo Del Automóvil Club Argentino,Avda. del Libertador 1850,,C1425AAR,11.0,4801 5675,relinsti@aca.org.ar,,-34.5826,-58.3998,Localización precisa,,DNPyM,Privada,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo Y Archivo Histórico De La Facultad De Derecho De La Universidad De Buenos Aires,Av. Figueroa Alcorta 2263,,C1425CKB,11.0,4809 5638,,,-34.583246,-58.392699,Localización precisa,,DNPyM,Nacional,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo Fotográfico Simik,Av. Federico Lacroze 3901,,C1427EDE,11.0,4554 5529,,,-34.584383,-58.453649,Localización precisa,,DNPyM,Privada,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo Nacional De Bellas Artes,Avda. del Libertador 1473,,C1425AAA,11.0,4803 8817,,,-34.5846,-58.3923,Localización precisa,,DNPyM,Nacional,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Palais De Glace - Palacio Nacional De Las Artes,Posadas 1725,,C1112ADE,11.0,4804 1163,,,-34.585994,-58.389655,Localización precisa,,DNPyM,Nacional,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Museo De Arquitectura Y Diseño,Avda. del Libertador 999,,C1001ABJ,11.0,4800 1888,,,-34.58663,-58.385729,Localización precisa,,DNPyM,Privada,,2017
2000010,2,2000,,Espacios de Exhibición Patrimonial,Museos,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Claustros Del Pilar,Junín 1904,,C1113AAX,11.0,4803 6793,,,-34.587287,-58.391969,Localización precisa,,DNPyM,Privada,,2017
