cod_localidad,id_provincia,id_departamento,categoria,provincia,departamento,localidad,nombre,direccion,piso,cp,web,latitud,longitud,tipo_latitud_longitud,fuente,sector,pantallas,butacas,tipo_de_gestion,espacio_incaa,año_actualizacion
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Angeba,Lavalle 750,Loc 101,1047,,-34.6024845,-58.3773438,Precisa,INCAA / SInCA,Cine,4,100,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Arte Multiplex,Av. Cabildo 2829,,1428,https://www.multiplex.com.ar/,-34.55597,-58.461705,Precisa,INCAA / SInCA,Cine,5,792,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Caballito,Av. Rivadavia 5071,,1424,https://www.villagecines.com/,-34.618581,-58.437367,Precisa,INCAA / SInCA,Cine,9,1769,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas La Rural,Juncal 4431,,1425,www.atlascines.com,-34.5776958,-58.4211033,Precisa,INCAA / SInCA,Cine,1,130,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Liniers,Ramón L. Falcón 7115,,1408,www.atlascines.com,-34.6401748,-58.5266769,Precisa,INCAA / SInCA,Cine,4,460,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Paseo Alcorta,Jeronimo Salguero 3172,,1425,cineatlasweb.com.ar,-34.575385,-58.403997,Precisa,INCAA / SInCA,Cine,3,432,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Patio Bullrich,Posadas 1245,,1001,cineatlasweb.com.ar,-34.588095,-58.383485,Precisa,INCAA / SInCA,Cine,3,585,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Atlas Rivera Indarte,Rivera Indarte 44,,1406,cineatlasweb.com.ar,-34.629368,-58.462523,Precisa,INCAA / SInCA,Cine,5,1263,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Belgrano Multiplex,Vuelta De Obligado 2238,,1428,https://www.multiplex.com.ar/,-34.560503,-58.456499,Precisa,INCAA / SInCA,Cine,8,2314,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Centro Cultural San Martín Sala 1 y 2,Sarmiento 1551,5 subsuelo,1042,https://elculturalsanmartin.ar/cine/,-34.605014,-58.3887091,Precisa,INCAA / SInCA,Cine,2,192,Pública,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Amigos Del Bellas Artes,Av. Pte. Figueroa Alcorta 2280,,1425,https://www.facebook.com/amigosdelbellasartes,-34.583511,-58.392686,Precisa,INCAA / SInCA,Cine,1,235,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Box,Laprida 1423,,1425,,-34.592435,-58.405847,Precisa,INCAA / SInCA,Cine,2,40,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine del Recuerdo,Av. Juan de Garay 1267,,1153,,-34.626836,-58.383669,Precisa,INCAA / SInCA,Cine,1,85,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine Popular HQ,Moreno 2654,,1094,https://www.facebook.com/CulturaATENac/,-34.6135315,-58.4036714,Precisa,INCAA / SInCA,Cine,1,158,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cine San Francisco,Av. Gral. Paz 10652,,1408,,-34.6399054,-58.5288246,Precisa,INCAA / SInCA,Cine,1,40,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinema Devoto,Jose Pedro Varela 4866,,1417,https://cinemadevoto.com.ar/,-34.611658,-58.516928,Precisa,INCAA / SInCA,Cine,8,1908,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinemark Caballito,Av. La Plata 96,,1184,https://www.cinemarkhoyts.com.ar,-34.616128,-58.428999,Precisa,INCAA / SInCA,Cine,6,898,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinemark Palermo,Beruti 3399,,1425,https://www.cinemarkhoyts.com.ar,-34.586565,-58.410421,Precisa,INCAA / SInCA,Cine,10,1738,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinemark Puerto Madero,Av. Alicia M De Justo 1920,,1107,https://www.cinemarkhoyts.com.ar,-34.622186,-58.365288,Precisa,INCAA / SInCA,Cine,8,1379,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Cinepolis Recoleta,Vicente Lopez 2050,,1128,https://www.villagecines.com/,-34.58922,-58.392976,Precisa,INCAA / SInCA,Cine,10,1776,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Complejo Cultural 25 de Mayo,Av. Triunvirato 4444,,1431,https://cc25.org/,-34.5763369,-58.4836525,Precisa,INCAA / SInCA,Cine,1,500,Pública,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Eden - Sala 2,Santa Fe 1825,,1123,,-34.595832,-58.393655,Precisa,INCAA / SInCA,Cine,1,30,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,El Páramo Cultural,Carlos Calvo 3974,,1230,https://www.facebook.com/ParamoCultural/,-34.6250548,-58.4215037,Precisa,INCAA / SInCA,Cine,1,60,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Gaumont,Av. Rivadavia 1635,,1033,http://www.incaa.gov.ar/,-34.60898,-58.38964,Precisa,INCAA / SInCA,Cine,3,1167,Pública,Si,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Hoyts Abasto,Aguero 665,,1193,https://www.cinemarkhoyts.com.ar/,-34.603485,-58.410853,Precisa,INCAA / SInCA,Cine,12,3021,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Hoyts Panamericana,Melian 4880,,1430,https://www.cinemarkhoyts.com.ar/,-34.546344,-58.488435,Precisa,INCAA / SInCA,Cine,10,1918,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Leopoldo Lugones,Av. Corrientes 1530,,1042,https://complejoteatral.gob.ar/cine,-34.604258,-58.388392,Precisa,INCAA / SInCA,Cine,1,212,Pública,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Lorca,Av. Corrientes 1428,,1042,http://cinelorca.wixsite.com/cine-lorca,-34.604091,-58.38682,Precisa,INCAA / SInCA,Cine,2,452,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Malba,Av. Figuero Alcorta 3415,Planta Baja,1425,http://www.malba.org.ar/,-34.577273,-58.403747,Precisa,INCAA / SInCA,Cine,1,224,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Monumental Lavalle,Lavalle 780,,1047,https://www.multiplex.com.ar/,-34.602358,-58.377801,Precisa,INCAA / SInCA,Cine,7,1270,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Nueva Victoria,Hipolito Yrigoyen 965,,1086,,-34.6094911,-58.3800409,Precisa,INCAA / SInCA,Cine,2,115,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Popular Ecuador,Ecuador 54,,1214,,-34.6097095,-58.4090281,Precisa,INCAA / SInCA,Cine,1,147,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Raúl González Tuñón,Av. Corrientes 1543,,1042,,-34.6040092,-58.3885434,Precisa,INCAA / SInCA,Cine,1,94,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Showcase Cinemas Belgrano,Monroe 1655,,1428,https://www.todoshowcase.com/,-34.553878,-58.452868,Precisa,INCAA / SInCA,Cine,10,2082,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,UBA - Cosmos,Av. Corrientes 2046,,1045,https://www.facebook.com/pg/cinecosmos.uba/,-34.604629,-58.396198,Precisa,INCAA / SInCA,Cine,2,190,Pública,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Yrigoyen,Hipolito Yrigoyen 945,,1086,,-34.6093723,-58.3796419,Precisa,INCAA / SInCA,Cine,2,64,Privada,No,2022
2000010,2,2000,Salas de cine,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Microcine Centro Cultural Recoleta,Junin 1930,,1113,http://www.centroculturalrecoleta.org/,-34.586753,-58.391672,Precisa,INCAA / SInCA,Cine,1,100,Pública,No,2022
